id,X,Y,Z,tonne,slope,au_ppm,cu_pct,block_val
0,15.0,15.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
1,15.0,15.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
2,15.0,15.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
3,15.0,15.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
4,15.0,15.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
5,15.0,15.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
6,15.0,15.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
7,15.0,15.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
8,15.0,15.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
9,15.0,15.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
10,15.0,15.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
11,15.0,15.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
12,15.0,15.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
13,15.0,15.0,405.0,52503.559,50.0,0.0,0.0,-257267.43910000002
14,15.0,45.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
15,15.0,45.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
16,15.0,45.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
17,15.0,45.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
18,15.0,45.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
19,15.0,45.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
20,15.0,45.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
21,15.0,45.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
22,15.0,45.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
23,15.0,45.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
24,15.0,45.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
25,15.0,45.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
26,15.0,45.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
27,15.0,45.0,405.0,54720.242,50.0,0.0,0.0,-268129.1858
28,15.0,75.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
29,15.0,75.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
30,15.0,75.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
31,15.0,75.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
32,15.0,75.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
33,15.0,75.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
34,15.0,75.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
35,15.0,75.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
36,15.0,75.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
37,15.0,75.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
38,15.0,75.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
39,15.0,75.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
40,15.0,75.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
41,15.0,75.0,405.0,56354.565,50.0,0.0,0.0,-276137.3685
42,15.0,105.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
43,15.0,105.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
44,15.0,105.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
45,15.0,105.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
46,15.0,105.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
47,15.0,105.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
48,15.0,105.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
49,15.0,105.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
50,15.0,105.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
51,15.0,105.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
52,15.0,105.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
53,15.0,105.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
54,15.0,105.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
55,15.0,105.0,405.0,57022.087,50.0,0.0,0.0,-279408.2263
56,15.0,135.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
57,15.0,135.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
58,15.0,135.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
59,15.0,135.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
60,15.0,135.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
61,15.0,135.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
62,15.0,135.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
63,15.0,135.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
64,15.0,135.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
65,15.0,135.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
66,15.0,135.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
67,15.0,135.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
68,15.0,135.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
69,15.0,135.0,405.0,57465.794,50.0,0.0,0.0,-281582.3906
70,15.0,165.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
71,15.0,165.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
72,15.0,165.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
73,15.0,165.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
74,15.0,165.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
75,15.0,165.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
76,15.0,165.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
77,15.0,165.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
78,15.0,165.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
79,15.0,165.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
80,15.0,165.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
81,15.0,165.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
82,15.0,165.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
83,15.0,165.0,405.0,58261.105,50.0,0.0,0.0,-285479.4145
84,15.0,195.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
85,15.0,195.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
86,15.0,195.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
87,15.0,195.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
88,15.0,195.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
89,15.0,195.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
90,15.0,195.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
91,15.0,195.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
92,15.0,195.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
93,15.0,195.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
94,15.0,195.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
95,15.0,195.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
96,15.0,195.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
97,15.0,195.0,405.0,58747.62,50.0,0.0,0.0,-287863.338
98,15.0,225.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
99,15.0,225.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
100,15.0,225.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
101,15.0,225.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
102,15.0,225.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
103,15.0,225.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
104,15.0,225.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
105,15.0,225.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
106,15.0,225.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
107,15.0,225.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
108,15.0,225.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
109,15.0,225.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
110,15.0,225.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
111,15.0,225.0,405.0,56744.579,50.0,0.0,0.0,-278048.4371
112,15.0,255.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
113,15.0,255.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
114,15.0,255.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
115,15.0,255.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
116,15.0,255.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
117,15.0,255.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
118,15.0,255.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
119,15.0,255.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
120,15.0,255.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
121,15.0,255.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
122,15.0,255.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
123,15.0,255.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
124,15.0,255.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
125,15.0,255.0,405.0,56824.886,50.0,0.0,0.0,-278441.9414
126,15.0,285.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
127,15.0,285.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
128,15.0,285.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
129,15.0,285.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
130,15.0,285.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
131,15.0,285.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
132,15.0,285.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
133,15.0,285.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
134,15.0,285.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
135,15.0,285.0,285.0,61200.012,50.0,0.0,0.0,-299880.0588
136,15.0,285.0,315.0,61200.012,50.0,0.0,0.0,-299880.0588
137,15.0,285.0,345.0,61200.012,50.0,0.0,0.0,-299880.0588
138,15.0,285.0,375.0,61200.012,50.0,0.0,0.0,-299880.0588
139,15.0,285.0,405.0,57773.716,50.0,0.0,0.0,-283091.2084
140,15.0,315.0,15.0,61200.012,50.0,0.0,0.0,-299880.0588
141,15.0,315.0,45.0,61200.012,50.0,0.0,0.0,-299880.0588
142,15.0,315.0,75.0,61200.012,50.0,0.0,0.0,-299880.0588
143,15.0,315.0,105.0,61200.012,50.0,0.0,0.0,-299880.0588
144,15.0,315.0,135.0,61200.012,50.0,0.0,0.0,-299880.0588
145,15.0,315.0,165.0,61200.012,50.0,0.0,0.0,-299880.0588
146,15.0,315.0,195.0,61200.012,50.0,0.0,0.0,-299880.0588
147,15.0,315.0,225.0,61200.012,50.0,0.0,0.0,-299880.0588
148,15.0,315.0,255.0,61200.012,50.0,0.0,0.0,-299880.0588
